ingredient,emissions
allspice,1133
almond extract,656
almonds,2856
anchovies,4220
apple juice,2440
apple sauce,2146
apples,900
apricot,430
artichoke,338
asparagus,7032
aubergine,3095
avocados,2400
bacon,6628
bagel,1215
baguette,1301
baked beans,2467
bananas,1300
barbeque sauce,222
barley,1118
basil,1133
bay leaves,1133
beef,43330
beer,876
beetroot,1136
berries,2860
biscuits,1303
black beans,852
black pepper,1133
black tea,605
brandy,2320
bread,1215
bread crumbs,1215
bread roll,1215
broccoli,1081
brussels sprouts,750
buckwheat,718
bulgar,760
butter,9758
buttermilk,1100
cabbage,622
cabbage - pickled,2569
cacao nibs,2655
cacao powder,4440
carrot,1133
cashew nuts,2091
cassava starch,594
cauliflower,971
cayenne pepper,1133
celery,844
cheese,8787
cheese - brie,7417
cheese - camambert,7111
cheese - cheddar,7417
cheese - cottage,2445
cheese - cream,6440
cheese - edam,7111
cheese - emmental,7111
cheese - feta,7111
cheese - goats,7111
cheese - gouda,7417
cheese - mascarpone,7417
cheese - mascarpone,7417
cheese - paneer,7111
cheese - parmesan,7111
cheese - prato,7417
cheese - quark,2445
cheese - stilton,7417
cheesecake,5482
cherries,2860
cherries - frozen,2520
chestnuts,1460
chia seeds,4200
chickpeas,852
chilli flakes,1133
chilli pepper,2019
chilli powder,1133
chips,3822
chives,1133
chocolate,5763
chocolate biscuit,2700
chocolate chips,5763
chocolate spread,4388
chutney,1656
cider bottle,876
cider can,660
cinnamon,1133
clams,3036
cloves,1133
cockles,3036
cocoa drink powder,4440
coconut oil,2415
coconut sugar,656
cod,3214
coffee beans,4500
coley,4362
coriander,1133
corn,405
corn crisps,1325
corn oil,1199
cottonseed oil,2140
courgette,861
couscous,2440
crab,17746
crackers,1155
cranberries,2860
crayfish,17746
cream,3724
cream - plant-based,1873
crepe,711
crisps,4410
crumpet,1215
cucumber,1928
cucumber - pickled,4074
cumin,1133
currants,2100
custard,2454
date,2100
dill,1133
doughnut,6579
dried peas (shelled),2388
duck,5054
eel,4220
eggs,4506
espresso,706
faba beans,852
falafel,2510
fennel seeds,4200
fish sauce,222
fish sticks,1906
fisherman pie,7778
five spice,1133
flapjacks,6840
flat white,1613
flatfish,4362
flounder,4362
flour,891
flour - rye,709
food colouring,656
frozen pulses,1834
fruit cordial,1927
fruit juice,1711
fruit pie,1578
fruit tea,605
fudge,2412
gammon,6628
garam masala,1133
garlic,452
ginger,452
gluten-free biscuit,3300
goat,35714
golden syrup,656
goose,5054
granola,4016
grapefruit juice,2060
grapefruits,800
grapes,2300
gravy,222
green beans,5668
green tea,605
groundnut oil,900
guinea fowl,5054
haddock,4362
hake,4362
halibut,4362
ham,6628
haricot beans,852
hazelnut paste,1266
hazelnut spread,2710
hazelnuts - chocolate covered,3430
herbal tea,605
herbs and spices,1133
herring,1586
hoki,4362
honey,1657
hot chocolate,2727
hummus,852
ice cream,3802
icing - to roll,656
instant coffee,706
jam,2146
jasmin tea,605
kale,1609
kidney beans,852
kipper,4220
kiwi,621
krill,17746
lamb,20825
lard,6116
latte,1613
leek,1051
lemon juice,622
lemon sole,4362
lemons,1900
lentils,670
lettuce,2063
lime,1900
lime juice,622
liquorice,2412
lobster,17746
macaroni,1374
mackerel,895
maize,510
mandarins,1100
mangoes,4400
maple syrup,656
marmalade,2146
marmite,1660
marshmallows,2412
marzipan,1657
mayonnaise,4030
meatless,2290
melons,900
milk,1762
milk - buffalo,3380
milk - concentrated,3100
milk - goats,2670
milk - plant-based,545
milk - sheeps,8400
milk - soy,782
mint,1133
mints,2412
mirin,222
miso paste,222
mixed nuts,2056
mixed seeds,2978
mocha,1613
muesli,1015
muffin,6579
mushrooms,1405
mussels,3036
mustard,222
mustard oil,2900
naan bread - plain,1215
nectarines,1900
noodles,1374
nutmeg,1133
oat flakes,790
oatly oat drink,318
oatly oat drink - barista edition,376
oatly oat drink - calcium,283
oatly oat drink - calcium organic,395
oatly oat drink - chocolate,350
oatly oat drink - chocolate deluxe,330
oatly oat drink - deluxe,300
"oatly oat drink - deluxe (germany, austria, netherlands)",685
oatly oat drink - low-fat,390
oatly oat drink - low-fat organic,290
oatly oat drink - orange mango,385
oatly oat drink - organic,321
oatly oat drink - semi-skimmed,515
oatly oat drink - semi-skimmed organic,315
oatly oat drink - vanilla,430
oatly oat drink - vanilla organic,350
oats,785
octopus,3036
olive oil,2526
olives,463
onion,1051
onion - frozen,2308
onion - pickled,2543
orange juice,2000
oranges,1900
oregano,1133
other pulses,3300
other spirits,2320
oyster sauce,222
oysters,3036
palm oil,6116
pancake,711
pancetta,6628
pangasius,4362
papaya,4400
paprika,1133
parsley,1133
parsnips,678
passata,1959
pasta,1374
pastry,6579
peaches,1900
peaches - canned,2900
peanut,1360
peanut butter,2107
peanut oil,3637
pears,1028
peas,4228
peas,2324
pecan,2129
peppermint extract,656
peppers,2019
peppers - green,2019
peppers - pickled,3840
pesto,2526
pineapple juice,2523
pineapples,1700
pineapples - dried,4900
pistachio,2330
pitta bread,1215
plaice,4362
plant-based spread,3081
plums,1125
prunes,4440
polenta,760
pollock,3214
pork,6628
porridge,3958
potatoes,1273
prawn,17746
pumpkin seeds,4200
quinoa,816
quorn,2400
quorn classic burger,2550
quorn crispy nuggets,1967
quorn mince,1691
quorn pieces,1709
quorn sausages,1700
quorn vegan nuggets,2550
quorn vegan pieces,1600
rabbit,11019
raisins,2100
rapeseed oil,2404
raspberries,2569
raspberries - frozen,2300
red onion,1051
relish,1656
rhubarb,844
rice,1354
rocket,1609
rosemary,1133
rum,2320
sage,1133
salad cream,4030
salad dressing,4607
salad leaves,1609
salmon,4787
salt,1133
sausage,6628
sardines,4220
scallops,3036
scones,3064
sea bass,4362
seabass,4362
seaweed,3036
sesameseed oil,4200
shallot,1051
shepherds pie - ready meal,12222
sherry,1369
shrimp,17746
snack bar - chocolate,5070
snack bar - muesli,6840
soft drink,622
soft drink,622
soy sauce,222
soybean oil,1583
soybeans,2000
spagheti bolognese - ready meal,11667
spaghetti,1374
spinach,1457
spinach - canned,1787
spinach - frozen,1571
spring onion,1051
squash,1162
squid,3036
steak,43330
