Ingedient,Weight(g),Emissions(gCO2)
Allspice,1000,1133
Almond extract,1000,656
Almonds,1000,2856
Anchovies,1000,4220
Apple juice,1000,2440
Apple sauce,1000,2146
Apples,1000,900
Apricot,1000,430
Artichoke,1000,338
Asparagus,1000,7032
Aubergine,1000,3095
Avocados,1000,2400
Bacon,1000,6628
Bagel,1000,1215
Baguette,1000,1301
Baked beans,1000,2467
Bananas,1000,1300
Barbeque sauce,1000,222
Barley,1000,1118
Basil,1000,1133
Bay leaves,1000,1133
Beef,1000,43330
Beer,1000,876
Beetroot,1000,1136
Berries,1000,2860
Biscuits,1000,1303
Black beans,1000,852
Black pepper,1000,1133
Black tea,1000,605
Brandy,1000,2320
Bread,1000,1215
Bread crumbs,1000,1215
Bread roll,1000,1215
Broccoli,1000,1081
Brussels Sprouts,1000,750
Buckwheat,1000,718
Bulgar,1000,760
Butter,1000,9758
Buttermilk,1000,1100
Cabbage,1000,622
Cabbage - pickled,1000,2569
Cacao nibs,1000,2655
Cacao powder,1000,4440
Carrot,1000,1133
Cashew nuts,1000,2091
Cassava Starch,1000,594
Cauliflower,1000,971
Cayenne pepper,1000,1133
Celery,1000,844
Cheese,1000,8787
Brie,1000,7417
Camambert,1000,7111
Cheddar,1000,7417
Cottage Cheese,1000,2445
Cream Cheese,1000,6440
Edam,1000,7111
Emmental,1000,7111
Feta,1000,7111
Gouda,1000,7417
Mascarpone,1000,7417
Paneer,1000,7111
Parmesan,1000,7111
Prato,1000,7417
Quark,1000,2445
Stilton,1000,7417
Cheesecake,1000,5482
Cherries,1000,2860
Chestnuts,1000,1460
Chia seeds,1000,4200
Chickpeas,1000,852
Chilli flakes,1000,1133
Chilli pepper,1000,2019
Chilli powder,1000,1133
Chips,1000,3822
Chives,1000,1133
Chocolate,1000,5763
Chocolate biscuit,1000,2700
Chocolate chips,1000,5763
Chocolate spread,1000,4388
Chutney,1000,1656
Cider bottle,1000,876
Cider can,1000,660
Cinnamon,1000,1133
Clams,1000,3036
Cloves,1000,1133
Cockles,1000,3036
Coconut oil,1000,2415
Coconut sugar,1000,656
Cod,1000,3214
Coffee beans,1000,4500
Coley,1000,4362
Coriander,1000,1133
Corn,1000,405
Corn crisps,1000,1325
Corn oil,1000,1199
Cottonseed oil,1000,2140
Courgette,1000,861
Couscous,1000,2440
Crab,1000,17746
Crackers,1000,1155
Cranberries,1000,2860
Crayfish,1000,17746
Cream,1000,3724
Cream - plant-based,1000,1873
Cucumber,1000,1928
Cucumber - pickled,1000,4074
Cumin,1000,1133
Currants,1000,2100
Custard,1000,2454
Date,1000,2100
Dill,1000,1133
Donut,1000,6579
Duck,1000,5054
Eel,1000,4220
Eggs,1000,4506
Espresso,1000,706
Faba beans,1000,852
Falafel,1000,2510
Fennel seeds,1000,4200
Fish sauce,1000,22
Five spice,1000,1133
Flapjacks,1000,6840
Flat White,1000,1613
Flatfish,1000,4362
Flounder,1000,4362
Flour,1000,891
Food colouring,1000,656
Frozen pulses,1000,1834
Fruit cordial,1000,1927
Fruit juice,1000,1711
Fruit pie,1000,1578
Fruit tea,1000,605
Fudge,1000,2412
Gammon,1000,6628
Garam Masala,1000,1133
Garlic,1000,452
Ginger,1000,452
Gluten-free biscuit,1000,3300
Goat,1000,35714
Golden syrup,1000,656
Goose,1000,5054
Granola,1000,4016
Grapefruit juice,1000,2060
Grapefruits,1000,800
Grapes,1000,2300
Gravy,1000,222
Green beans,1000,5668
Green tea,1000,605
Groundnut oil,1000,900
Guinea fowl,1000,5054
Haddock,1000,4362
Hake,1000,4362
Halibut,1000,4362
Ham,1000,6628
Haricot beans,1000,852
Hazelnut paste,1000,1266
Hazelnut spread,1000,2710
Hazelnuts - chocolate covered,1000,3430
Herbal tea,1000,605
Herbs and spices,1000,1133
Herring,1000,1586
Hoki,1000,4362
Honey,1000,1657
Hot chocolate,1000,2727
Hummus,1000,852
Ice cream,1000,3802
Icing - to roll,1000,656
Instant Coffee,1000,706
