Ingedient,Weight(g),Emissions(gCO2)
Allspice,1000,1133
Almond extract,1000,656
Almonds,1000,2856
Americano,1000,706
Anchovies,1000,4220
Apple juice,1000,2440
Apple sauce,1000,2146
Apples,1000,900
Apples - dried,1000,6980
Apples - frozen,1000,2120
Apricot,1000,430
Artichoke,1000,338
Asparagus,1000,7032
Asparagus - canned,1000,4184
Asparagus - frozen,1000,3044
Aubergine,1000,3095
Avocados,1000,2400
Bacon,1000,6628
Bagel,1000,1215
Baguette,1000,1301
Baked beans,1000,2467
Baking powder,1000,0
Bananas,1000,1300
Bananas - chipped,1000,4400
Bananas - dried,1000,4400
Barbeque sauce,1000,222
Barley,1000,1118
Basil,1000,1133
Bay leaves,1000,1133
Beef,1000,43330
Beef Lasagne - ready meal,1000,13889
Beef Roast - ready meal,1000,8889
Beer bottle,1000,876
Beer can,1000,660
Beetroot,1000,1136
Beetroot - pickled,1000,3608
Berries,1000,2860
Bicarbonate of soda,1000,0
Biscuits,1000,1303
Black beans,1000,852
Black pepper,1000,1133
Black tea,1000,605
Blackberries,1000,2860
Blackberries - frozen,1000,2520
Blueberries,1000,2860
Blueberries - frozen,1000,2520
Bolognese sauce,1000,2432
Bottled water,1000,315
Brandy,1000,2320
Bread,1000,1215
Bread - brown,1000,1102
Bread - rye,1000,1071
Bread - white,1000,1081
Bread crumbs,1000,1215
Bread roll,1000,1215
Bread roll,1000,1215
Bread roll - white,1000,1121
Breakfast cereal,1000,2401
Breakfast cereal - non-wholegrain,1000,4006
Breakfast cereal - wholegrain,1000,2346
Broccoli,1000,1081
Brussels Sprouts,1000,750
Brussels sprouts - frozen,1000,1875
Buckwheat,1000,718
Bulgar,1000,760
Butter,1000,9758
Buttermilk,1000,1100
Cabbage,1000,622
Cabbage - pickled,1000,2569
Cabbage - pre-cut,1000,1372
Cacao nibs,1000,2655
Cacao powder,1000,4440
Cake,1000,3064
Cake - chocolate,1000,3668
Cake - fruit,1000,3064
Cake - sponge,1000,3064
Cappuccino,1000,1613
Carrot,1000,1133
Carrots - canned,1000,1926
Carrots - frozen,1000,2443
Carrots - pre-chopped,1000,2161
Cashew nuts,1000,2091
Cassava Starch,1000,594
Cauliflower,1000,971
Cauliflower - frozen,1000,2271
Cauliflower - pre-cut,1000,2021
Cayenne pepper,1000,1133
Celery,1000,844
Cheese,1000,8787
Cheese - brie,1000,7417
Cheese - camambert,1000,7111
Cheese - cheddar,1000,7417
Cheese - cottage,1000,2445
Cheese - cream,1000,6440
Cheese - edam,1000,7111
Cheese - emmental,1000,7111
Cheese - feta,1000,7111
Cheese - goats,1000,7111
Cheese - gouda,1000,7417
Cheese - mascarpone,1000,7417
Cheese - mascarpone,1000,7417
Cheese - paneer,1000,7111
Cheese - parmesan,1000,7111
Cheese - prato,1000,7417
Cheese - quark,1000,2445
Cheese - stilton,1000,7417
Cheesecake,1000,5482
Cherries,1000,2860
Cherries - frozen,1000,2520
Chestnuts,1000,1460
Chia seeds,1000,4200
Chia seeds,1000,4200
Chicken Korma Curry - ready meal,1000,8056
Chicken Korma Curry - ready meal,1000,8056
Chicken Roast - ready meal,1000,6944
Chickpeas,1000,852
Chilli flakes,1000,1133
Chilli pepper,1000,2019
Chilli pepper - jalepeno,1000,2019
Chilli powder,1000,1133
